
ACTIVITY PATTERNS,
type,data-set,entityid,type,category,code,subject,description,mandatory,priority,recurring,targetdays,targetincludedays,targetstartpoint,escalationdays,escalationincldays,escalationstartpt,automatedonly,command,patternlevel
ActivityPattern,0,sample_pattern:1,general,reminder,general_reminder,General reminder (diary),,false,normal,false,,,,,,,false,,All
ActivityPattern,0,sample_pattern:2,general,reminder,coverage,Verify coverage,,false,urgent,false,2,businessdays,activitycreation,5,businessdays,activitycreation,false,,All
ActivityPattern,0,sample_pattern:3,general,interview,contact_insured,Meet with Insured,,false,normal,false,,,,,,,false,,All
ActivityPattern,0,sample_pattern:4,general,interview,contact_producer,Meet with Producer/Agency,,false,normal,false,,,,,,,false,,All
ActivityPattern,0,sample_pattern:5,general,request,risk_info_producer,Get Risk Information - Producer,,false,normal,false,5,businessdays,activitycreation,10,businessdays,activitycreation,false,,All
ActivityPattern,0,sample_pattern:6,general,request,inspection_fee_service,Get Inspection - Outside Service,,false,normal,false,30,elapsed,activitycreation,45,elapsed,activitycreation,false,,All
ActivityPattern,0,sample_pattern:7,general,request,inspection_loss_control,Get Inspection - Loss Control,,false,normal,false,30,elapsed,activitycreation,45,elapsed,activitycreation,false,,All
ActivityPattern,0,sample_pattern:8,general,request,mvr,Get Motor Vehicle Reports,,false,urgent,false,2,businessdays,activitycreation,5,businessdays,activitycreation,false,,All
ActivityPattern,0,sample_pattern:9,general,request,credit_reports,Get Credit Reports,,false,high,false,5,businessdays,activitycreation,10,businessdays,activitycreation,false,,All
ActivityPattern,0,sample_pattern:10,general,request,bureau data,Get Bureau Data,,false,high,false,5,businessdays,activitycreation,10,businessdays,activitycreation,false,,All
ActivityPattern,0,sample_pattern:11,general,request,reinsurance,Get Reinsurance Quote,,false,urgent,false,2,businessdays,activitycreation,5,businessdays,activitycreation,false,,All
ActivityPattern,0,sample_pattern:12,general,request,audit_fee_service,Get Audit - Outside Service,,false,normal,false,5,businessdays,activitycreation,30,elapsed,activitycreation,false,,All
ActivityPattern,0,sample_pattern:13,general,request,audit_internal_request,Get Audit - Internal Personnel,,false,normal,false,5,businessdays,activitycreation,30,elapsed,activitycreation,false,,All
ActivityPattern,0,sample_pattern:14,general,reminder,midterm_review,Policy Review Midterm,,false,normal,false,160,businessdays,policyeffdate,180,businessdays,policyeffdate,false,,Job
ActivityPattern,0,sample_pattern:15,general,reminder,renewal_review,Policy Review Renewal,,false,normal,false,260,elapsed,policyeffdate,280,elapsed,policyeffdate,false,,Job
ActivityPattern,0,sample_pattern:16,general,reminder,uw_period_30,Review 30 day UW Period,,false,high,false,20,elapsed,activitycreation,25,elapsed,activitycreation,false,,All
ActivityPattern,0,sample_pattern:17,general,reminder,uw_period_45,Review 45 day UW Period,,false,high,false,35,elapsed,activitycreation,40,elapsed,activitycreation,false,,All
ActivityPattern,0,sample_pattern:18,general,reminder,uw_period_60,Review 60 day UW Period,,false,high,false,50,elapsed,activitycreation,55,elapsed,activitycreation,false,,All
ActivityPattern,0,sample_pattern:19,general,reminder,30_day_diary,30 day diary,,false,normal,true,30,elapsed,activitycreation,,,,false,,All
ActivityPattern,0,sample_pattern:20,general,reminder,60_day_diary,60 day diary,,false,normal,true,60,elapsed,activitycreation,,,,false,,All
ActivityPattern,0,sample_pattern:21,general,reminder,90_day_diary,90 day diary,,false,normal,true,90,elapsed,activitycreation,,,,false,,All
ActivityPattern,0,sample_pattern:22,general,reminder,employee_review,Performance Review,,true,low,false,30,elapsed,activitycreation,,,,false,,All
ActivityPattern,0,sample_pattern:23,general,request,legal_review,Legal review ,Referral to Legal Counsel,false,high,false,3,elapsed,activitycreation,5,businessdays,activitycreation,false,,All
ActivityPattern,0,sample_pattern:24,general,reminder,quote_due,Quote Required,,false,normal,false,,,,,,,false,,All
ActivityPattern,0,sample_pattern:25,general,request,manual_quote,Manually rate and quote policy,,true,normal,false,2,businessdays,activitycreation,5,businessdays,activitycreation,false,,All
ActivityPattern,0,sample_pattern:26,general,newmail,new_mail,Review new mail,,true,normal,false,3,businessdays,activitycreation,,,,false,,All
ActivityPattern,0,sample_pattern:27,general,reminder,review_producer,Review Producer,,true,normal,false,30,elapsed,activitycreation,45,elapsed,activitycreation,false,,All
ActivityPattern,0,sample_pattern:28,general,request,create_producer,Create New Producer,,true,high,false,2,elapsed,activitycreation,5,elapsed,activitycreation,false,,All
ActivityPattern,0,sample_pattern:29,general,reminder,notification,Policy notification,A workflow step has been completed for a policy.,false,normal,false,10,businessdays,activitycreation,20,businessdays,activitycreation,false,,All
