
Roles,
type,data-set,entityid,description,name,carrierinternalrole,roletype
Role,0,superuser,Superuser with full permissions,Superuser,true,user
Role,0,underwriter_supervisor,Base permissions for a supervisor,Underwriting Supervisor,true,user
Role,0,underwriter,Permissions for underwriter,Underwriter,true,user
Role,0,underwriter_asst,Permissions for underwriter assistant,Underwriter Assistant,true,user
Role,0,processor,Permissions for processor,Processor,true,user
Role,0,producer,Permissions for producer,Producer,false,userproducercode
Role,0,producer_clerical,Base permissions for producer clerical user,Producer Clerical,false,user
Role,0,loss_control,Permissions for loss control user,Loss Control,false,user
Role,0,integration_admin,Permissions for integration admin,Integration Admin,true,user
Role,0,rule_admin,Permissions for rule admin,Rule Admin,true,user
Role,0,reporting_admin,Permissions for reporting admin,Reporting Admin,true,user
Role,0,audit_examiner,Permissions for audit examiner,Audit Examiner,true,user
Role,0,producercode_submission,Permissions for producer code submission,Producer Code - Submissions,false,producercode
Role,0,producercode_policychanges,Permissions for producer code policy changes,Producer Code - Policy Changes,false,producercode
Role,0,producercode_renewals,Permissions for producer code renewals,Producer Code - Renewals,false,producercode
Role,0,producercode_cancellations,Permissions for producer code cancellations,Producer Code - Cancellations,false,producercode
Role,0,producercode_basics,Permissions for producer code basics,Producer Code - Basics,false,producercode
Role,0,premium_auditor,Permissions for premium auditor,Premium Auditor,false,user
Role,0,audit_supervisor,Permissions for audit supervisor,Audit Supervisor,true,user
Role,0,community_admin,Permissions for community admin,Community Admin,true,user
Role,0,user_admin,Permissions for user admin,User Admin,false,user
Role,0,toolview,Permissions for viewing tools page,Tools View,true,user
Role,0,claims_adjuster,Base permissions for a claims adjuster,Claims Adjuster,false,userproducercode
Role,0,forms_admin,Permissions for users allowed to modify how forms are added to policies,Forms Admin,true,user
Role,0,reinsurance_admin,Permissions for reinsurance admin,Reinsurance Admin,false,user
Role,0,reinsurance_manager,Permissions for reinsurance manager,Reinsurance Manager,false,user
Role,0,rating_analyst,Permissions for rating analyst,Rating Analyst,true,user
Role,0,rating_supervisor,Permissions for rating supervisor,Rating Supervisor,true,user
,,,,
,,,,
,,,,
,,,,
